"Show Cross-sell Items in the Shopping Cart","Show Cross-sell Items in the Shopping Cart"
"You added %1 to your <a href=""%2"">shopping cart</a>.","You added %1 to your <a href=""%2"">shopping cart</a>."
"The shipping method is missing. Select the shipping method and try again.","The shipping method is missing. Select the shipping method and try again."
"Please select shipping method","Please select your preferred shipping method"
"For delivery questions.","We may contact you if we need more details about the address."
"Add to Wish List","Favorite"
"There is no review yet","This product doesn't have any reviews. Be the first to review this product!"
"Some of the products are out of stock.","Some of the products are out of stock. Remove the product from cart to proceed to the checkout"
"shop By", "Filter"
"1. Shipping Details","Shipping Details"
"2. Payment","Payment"
"Shipping","Delivery"
"Tulis detail alamat penagihan Anda:","Write down your billing address details:"
"Alamat pengiriman & penagihan saya sama","My shipping & billing address is the same"
"Pilih metode pembayaran yang diinginkan:","Select your preferred payment method:"
"Pembayaran","Payment"
"Masukkan nama depan","Enter first name"
"Masukkan nama belakang","Enter last name"
"Masukkan nama jalan, no. rumah, dll","Enter street name, no.  house, etc"
"Pin Alamat (opsional)","Address Pin (optional)"
"Wajib diisi bila Anda memilih Gosend sebagai kurir pengiriman","Required if you choose Gosend as delivery courier"
"Kartu Kredit - Cicilan","Credit Card - Installment"
"Cicilan dengan Akulaku","Installment with Akulaku"
"Cicilan dengan Kredivo","Installment with Kredivo"
"Pembayaran Lainnya","Other Payments"
"Ubah","Change"
"Info Pengiriman","Shipping Info"
"Info Pengambilan","Pick Up Info"
"Pilih alamat pengiriman Anda:","Choose your shipping address:"
"Ambil Di Toko","Pick Up In Store"
"Pilih Planet Gadget Store terdekat:","Choose the nearest Planet Gadget Store:"
"LANJUT KE PEMBAYARAN","PROCEED TO PAYMENT"
"PILIH TOKO PENGAMBILAN BARANG","CHOOSE SHOP PICKING UP"
"Gunakan poin saya","Use my points "
"Gunakan Poin","Use Points"
"(opsional)","(Optional)"
"Brand","Product Brand"
"Trade-In Plus","Trade-in-plus"
"Solusi yang diinginkan","Desired solution"
"Kami siap memberikan layanan terbaik untuk Anda","We are ready to provide the best service for you"
"Nama","Name"
"Email","Email"
"Nomor Telepon","Phone number"
"Saya tertarik menjadi","I'm interested in becoming"
"Nama Perusahaan","Company name"
"Bidang Perusahaan","Company field"
"Jabatan","Department"
"Hubungi ","Contact "
"Kami","Us"
"KIRIM","SEND"
"Masukkan nama Anda","Enter your name"
"Masukkan email Anda","Enter your email"
"Contoh: 081234567890","Example: 081234567890"
"Masukkan nama perusahaan","Enter the company name"
"Masukkan jabatan","Enter the department"
"Masukkan solusi yang Anda inginkan","Enter the solution you want"
